Date,Open,High,Low,Close,Volume,Adj Close
2016-07-12,23.58,24.35,23.00,24.17,9590400,24.17
2016-07-11,23.85,24.30,23.51,23.53,7634400,23.53
2016-07-08,24.24,24.43,23.66,23.95,7395800,23.95
2016-07-07,23.80,24.49,23.70,24.12,10426700,24.12
2016-07-06,23.69,24.21,23.46,23.88,8012200,23.88
2016-07-05,23.77,24.50,23.76,23.85,12008300,23.85
2016-07-04,23.23,23.72,23.03,23.55,8411900,23.55
2016-07-01,23.53,23.75,23.19,23.39,7763500,23.39
2016-06-30,23.03,23.95,22.82,23.69,12264300,23.69
2016-06-29,23.40,23.45,22.80,23.00,7163100,23.00
2016-06-28,22.50,23.33,22.50,23.21,9824700,23.21
2016-06-27,21.90,22.98,21.81,22.76,7551700,22.76
2016-06-24,22.78,22.93,21.47,22.16,7460700,22.16
2016-06-23,22.85,23.08,22.40,22.70,5749500,22.70
2016-06-22,22.35,22.98,22.30,22.94,5954700,22.94
2016-06-21,23.00,23.14,22.25,22.35,6314700,22.35
2016-06-20,22.80,22.80,22.15,22.62,5586000,22.62
2016-06-17,22.77,23.29,22.64,22.74,5573000,22.74
2016-06-16,23.30,23.35,22.55,22.71,7048700,22.71
2016-06-15,22.25,23.44,22.08,23.23,6986400,23.23
2016-06-14,22.03,22.77,22.02,22.40,4287400,22.40
2016-06-13,23.18,23.74,22.28,22.28,7759900,22.28
2016-06-10,24.18,24.18,24.18,24.18,000,24.18
2016-06-09,24.18,24.18,24.18,24.18,000,24.18
2016-06-08,24.41,24.57,23.85,24.18,7391600,24.18
2016-06-07,25.39,25.39,24.72,24.87,6821700,24.868
2016-06-06,24.99,25.35,24.81,25.17,8092100,25.16798
2016-06-03,25.00,25.29,24.78,24.90,10357500,24.898
2016-06-02,23.90,25.98,23.90,25.37,15060800,25.36796
2016-06-01,23.97,24.59,23.90,23.96,9021100,23.95807
2016-05-31,22.70,23.94,22.50,23.89,10614000,23.88808
2016-05-30,23.00,23.00,22.00,22.50,6790400,22.49819
2016-05-27,23.25,23.72,22.97,23.14,6839100,23.13814
2016-05-26,23.00,23.25,22.17,23.16,7199800,23.15814
2016-05-25,23.97,24.15,22.97,23.09,8436300,23.08814
2016-05-24,23.50,24.18,23.11,23.80,7906200,23.79809
2016-05-23,23.90,24.05,23.31,23.50,9460900,23.49811
2016-05-20,22.58,23.70,22.03,23.50,10717700,23.49811
2016-05-19,22.00,23.19,22.00,22.53,10151800,22.52819
2016-05-18,23.00,23.00,21.69,22.04,12444100,22.03823
2016-05-17,24.78,24.98,23.80,24.10,19794600,24.09806
2016-05-16,22.68,23.62,22.30,23.62,11621800,23.6181
2016-05-13,21.80,22.38,21.15,21.47,9904100,21.46827
2016-05-12,21.34,22.87,21.06,21.90,14176800,21.89824
2016-05-11,24.49,24.49,22.99,22.99,22959600,22.98815
2016-05-10,25.65,26.08,25.33,25.54,7196100,25.53795
2016-05-09,27.02,27.22,25.21,25.40,11787500,25.39796
2016-05-06,29.46,29.90,26.83,27.77,18885600,27.76777
2016-05-05,29.00,29.68,28.78,29.46,12209500,29.45763
2016-05-04,28.72,30.26,28.50,29.18,16704400,29.17765
2016-05-03,27.29,29.38,27.20,28.79,13888900,28.78769
2016-05-02,27.54,27.54,27.54,27.54,000,27.53779
2016-04-29,27.72,28.19,27.27,27.54,10988700,27.53779
2016-04-28,26.38,28.50,26.00,28.07,17575200,28.06774
2016-04-27,26.21,27.10,25.86,26.40,10572300,26.39788
2016-04-26,26.85,27.80,25.78,26.52,12777500,26.51787
2016-04-25,27.00,27.00,25.92,26.39,8080700,26.38788
2016-04-22,25.60,27.20,25.26,27.17,12029600,27.16782
2016-04-21,27.43,27.50,25.56,25.72,10887700,25.71793
2016-04-20,28.79,29.50,26.08,27.15,16190300,27.14782
2016-04-19,28.87,29.00,28.12,28.54,11572800,28.53771
2016-04-18,29.30,29.68,28.01,28.85,14001100,28.84768
2016-04-15,27.76,30.40,27.53,29.85,21928200,29.8476
2016-04-14,27.66,28.60,27.12,27.95,19044600,27.94775
2016-04-13,26.10,28.30,26.03,27.53,24662400,27.52779
2016-04-12,24.92,25.80,24.88,25.73,10363800,25.72793
2016-04-11,24.68,25.78,24.66,25.16,8603600,25.15798
2016-04-08,24.22,24.85,24.00,24.50,8143600,24.49803
2016-04-07,26.00,26.40,25.00,25.03,10913000,25.02799
2016-04-06,25.70,26.99,25.50,25.98,15468800,25.97791
2016-04-05,25.10,26.15,24.43,25.94,11099600,25.93791
2016-04-04,25.00,25.00,25.00,25.00,000,24.99799
2016-04-01,25.56,25.69,24.20,25.00,10642300,24.99799
2016-03-31,25.18,26.70,25.06,25.67,17065200,25.66794
2016-03-30,23.87,25.15,23.81,24.90,13736300,24.898
2016-03-29,24.22,24.37,23.00,23.95,9568500,23.94808
2016-03-28,26.10,26.32,24.00,24.35,15201700,24.34804
2016-03-25,24.94,26.18,24.80,25.76,18924600,25.75793
2016-03-24,24.00,26.58,23.72,25.10,18576300,25.09798
2016-03-23,24.34,24.65,23.70,24.52,11747800,24.51803
2016-03-22,24.18,25.12,23.95,24.39,12037100,24.38804
2016-03-21,24.70,24.85,23.94,24.68,16227200,24.67802
2016-03-18,22.61,24.50,22.61,23.95,17064900,23.94808
2016-03-17,20.90,22.76,20.90,22.60,15553700,22.59818
2016-03-16,21.96,22.09,20.38,20.84,10252600,20.83832
2016-03-15,21.12,22.19,21.02,21.28,10565400,21.27829
2016-03-14,20.58,22.00,20.31,21.35,11347900,21.34828
2016-03-11,19.85,20.54,19.61,20.10,7282900,20.09838
2016-03-10,21.50,21.65,19.92,20.35,11726500,20.34836
2016-03-09,21.64,22.45,21.25,21.42,9961600,21.41828
2016-03-08,21.70,22.46,19.61,22.30,13226700,22.29821
2016-03-07,21.60,22.56,21.33,21.70,9835000,21.69826
2016-03-04,23.30,23.78,21.15,21.15,14740000,21.1483
2016-03-03,24.01,24.79,23.50,23.50,13784200,23.49811
2016-03-02,22.01,23.95,21.84,23.90,15080000,23.89808
2016-03-01,21.15,23.06,20.65,22.29,14320800,22.28821
2016-02-29,23.73,23.80,21.24,21.24,13551700,21.23829
2016-02-26,24.90,25.30,22.86,23.60,14566500,23.5981
2016-02-25,27.17,27.42,24.86,24.86,16226300,24.858
2016-02-24,28.86,29.17,26.50,27.62,17214900,27.61778
2016-02-23,28.36,29.40,27.66,29.13,17255200,29.12766
2016-02-22,27.70,28.73,27.12,28.30,17084900,28.29772
2016-02-19,26.02,28.93,26.02,27.51,20209000,27.50779
2016-02-18,27.15,27.55,26.15,26.30,16035700,26.29788
2016-02-17,25.60,27.80,25.22,27.40,17593700,27.3978
2016-02-16,24.75,26.18,24.60,25.67,14593400,25.66794
2016-02-15,22.20,25.50,22.20,24.55,14608600,24.54803
2016-02-12,23.40,23.40,23.40,23.40,000,23.39812
2016-02-11,23.40,23.40,23.40,23.40,000,23.39812
2016-02-10,23.40,23.40,23.40,23.40,000,23.39812
2016-02-09,23.40,23.40,23.40,23.40,000,23.39812
2016-02-08,23.40,23.40,23.40,23.40,000,23.39812
2016-02-05,24.50,24.78,23.26,23.40,12180800,23.39812
2016-02-04,24.48,25.45,24.36,24.79,13888000,24.78801
2016-02-03,23.96,24.99,23.38,24.68,17834000,24.67802
2016-02-02,22.00,24.07,21.71,24.07,10713300,24.06806
2016-02-01,22.71,23.65,20.80,21.88,12768800,21.87824
2016-01-29,21.89,23.86,20.69,22.85,15770000,22.84816
