Date,Open,High,Low,Close,Volume,Adj Close
2016-06-03,34.16,34.79,33.90,34.22,3485600,34.07
2016-06-02,34.21,34.64,33.70,34.16,4491800,34.01026
2016-06-01,34.61,34.95,34.13,34.31,4920600,34.15961
2016-05-31,32.50,35.00,32.50,34.61,6031500,34.45829
2016-05-30,32.68,33.14,31.63,32.66,2836700,32.51684
2016-05-27,32.03,33.27,32.03,32.78,3595000,32.63631
2016-05-26,31.51,32.40,30.69,32.40,2913900,32.25798
2016-05-25,32.50,33.19,31.60,31.79,2458100,31.65065
2016-05-24,33.44,33.50,32.08,32.35,2986300,32.2082
2016-05-23,31.53,33.33,31.44,33.15,5285900,33.00469
2016-05-20,30.50,31.34,30.22,31.32,2059400,31.18271
2016-05-19,30.50,31.56,30.38,30.77,3158500,30.63512
2016-05-18,31.40,31.40,30.01,30.49,3128700,30.35635
2016-05-17,31.01,32.30,31.00,31.69,3942200,31.55109
2016-05-16,30.80,31.26,30.01,31.10,4582900,30.96368
2016-05-13,30.96,31.64,30.70,30.88,2177900,30.74464
2016-05-12,31.02,31.47,30.58,31.18,2257000,31.04333
2016-05-11,32.49,32.72,31.50,31.66,3060800,31.52122
2016-05-10,31.85,32.78,31.85,32.14,2024500,31.99912
2016-05-09,33.12,33.45,32.05,32.45,4202600,32.30776
2016-05-06,35.40,35.67,33.05,33.08,4810300,32.935
2016-05-05,35.33,35.95,34.80,35.45,4363900,35.29461
2016-05-04,33.67,36.28,33.60,35.22,7232200,35.06562
2016-05-03,32.55,33.98,31.90,33.95,4962500,33.80118
2016-05-02,32.60,32.60,32.60,32.60,000,32.4571
2016-04-29,32.94,33.07,32.43,32.60,3553100,32.4571
2016-04-28,32.13,33.15,32.13,33.08,5343500,32.935
2016-04-27,32.78,32.78,32.00,32.00,2805100,31.85973
2016-04-26,32.31,33.00,31.86,32.73,3043400,32.58653
2016-04-25,32.00,32.79,31.51,32.34,3476400,32.19824
2016-04-22,31.49,32.49,31.46,32.41,3882200,32.26793
2016-04-21,32.50,32.98,31.65,31.79,4428400,31.65065
2016-04-20,35.88,36.30,32.49,32.86,9626600,32.71596
2016-04-19,35.75,35.88,35.03,35.48,3843700,35.32448
2016-04-18,36.12,36.20,34.97,35.39,5228000,35.23487
2016-04-15,36.95,37.50,36.43,36.67,5993000,36.50926
2016-04-14,37.01,37.22,36.32,36.93,5411200,36.76812
2016-04-13,36.05,37.55,36.05,36.50,10065000,36.34001
2016-04-12,36.15,36.45,35.05,35.80,5244900,35.64307
2016-04-11,35.11,36.50,35.11,36.23,7205100,36.07119
2016-04-08,35.55,35.59,34.35,34.70,6621300,34.5479
2016-04-07,37.59,37.80,35.80,36.00,11241300,35.8422
2016-04-06,36.80,37.72,36.51,37.59,10071700,37.42523
2016-04-05,35.70,37.30,35.00,37.00,10772300,36.83781
2016-04-04,35.67,35.67,35.67,35.67,000,35.51364
2016-04-01,36.00,36.17,34.81,35.67,9180000,35.51364
2016-03-31,36.50,36.76,35.90,36.25,8732600,36.0911
2016-03-30,34.40,36.43,34.31,36.28,10492400,36.12097
2016-03-29,35.16,35.46,33.56,34.00,8335300,33.85096
2016-03-28,37.00,37.50,35.20,35.45,8929300,35.29461
2016-03-25,37.70,38.12,36.10,36.89,8745900,36.7283
2016-03-24,37.73,39.30,37.42,37.70,11814300,37.53475
2016-03-23,37.29,38.21,37.18,38.01,7875400,37.84339
2016-03-22,36.59,39.26,36.10,37.90,14857000,37.73387
2016-03-21,37.05,38.12,36.33,37.41,12271100,37.24602
2016-03-18,34.40,37.00,34.10,36.19,14442400,36.03136
2016-03-17,30.88,33.67,30.50,33.67,14297300,33.52241
2016-03-16,32.16,32.63,30.20,30.61,6694000,30.47583
2016-03-15,31.90,33.15,31.63,31.63,7185200,31.49135
2016-03-14,30.59,32.89,30.24,32.02,9829900,31.87964
2016-03-11,29.02,30.10,28.50,29.96,4481800,29.82867
2016-03-10,29.95,30.50,29.23,29.75,5344600,29.61959
2016-03-09,29.60,30.64,29.09,29.84,5773000,29.7092
2016-03-08,29.60,30.83,27.11,30.58,10550000,30.44596
2016-03-07,29.15,30.95,29.15,29.80,9064300,29.66937
2016-03-04,31.29,31.78,28.94,28.94,11303300,28.81315
2016-03-03,33.20,34.40,32.00,32.15,12096800,32.00908
2016-03-02,30.78,32.90,30.40,32.80,13137800,32.65622
2016-03-01,29.35,31.96,28.33,31.04,13395900,30.90394
2016-02-29,32.88,32.91,29.64,29.64,6910500,29.51008
2016-02-26,34.66,34.99,32.15,32.93,11854600,32.78566
2016-02-25,38.28,38.28,34.56,34.56,13620600,34.40851
2016-02-24,40.00,40.58,36.78,38.40,12986500,38.23168
2016-02-23,42.00,42.67,39.70,40.58,8076600,40.40212
2016-02-22,42.60,42.98,41.09,41.92,9431400,41.73625
2016-02-19,41.30,42.90,39.90,42.09,8277400,41.9055
2016-02-18,44.35,44.90,41.31,41.31,6918100,41.12892
2016-02-17,43.38,43.89,41.88,43.21,6483800,43.02059
2016-02-16,41.40,44.50,41.40,43.20,7059800,43.01064
2016-02-15,40.34,41.60,40.00,41.20,3615500,41.01941
2016-02-12,42.26,42.26,42.26,42.26,000,42.07476
2016-02-11,42.26,42.26,42.26,42.26,000,42.07476
2016-02-10,42.26,42.26,42.26,42.26,000,42.07476
2016-02-09,42.26,42.26,42.26,42.26,000,42.07476
2016-02-08,42.26,42.26,42.26,42.26,000,42.07476
2016-02-05,44.00,44.66,41.58,42.26,4505400,42.07476
2016-02-04,42.80,44.90,42.80,43.90,5145400,43.70757
2016-02-03,42.00,43.48,40.88,42.65,6265900,42.46305
