Date,Open,High,Low,Close,Volume,Adj Close
2016-08-18,33.19,33.38,32.12,32.48,6226400,32.48
2016-08-17,33.09,33.46,32.85,33.16,5571500,33.16
2016-08-16,33.25,33.70,32.80,33.12,8189100,33.12
2016-08-15,32.05,33.77,31.82,33.19,12129200,33.19
2016-08-12,36.69,36.69,32.00,32.80,18458500,32.80
2016-08-11,35.01,35.01,35.01,35.01,000,35.01
2016-08-10,35.01,35.01,35.01,35.01,000,35.01
2016-08-09,35.01,35.01,35.01,35.01,000,35.01
2016-08-08,35.01,35.01,35.01,35.01,000,35.01
2016-08-05,35.01,35.01,35.01,35.01,000,35.01
2016-08-04,35.01,35.01,35.01,35.01,000,35.01
2016-08-03,35.01,35.01,35.01,35.01,000,35.01
2016-08-02,35.01,35.01,35.01,35.01,000,35.01
2016-08-01,35.01,35.01,35.01,35.01,000,35.01
2016-07-29,35.01,35.01,35.01,35.01,000,35.01
2016-07-28,35.01,35.01,35.01,35.01,000,35.01
2016-07-27,35.01,35.01,35.01,35.01,000,35.01
2016-07-26,35.01,35.01,35.01,35.01,000,35.01
2016-07-25,35.01,35.01,35.01,35.01,000,35.01
2016-07-22,35.01,35.01,35.01,35.01,000,35.01
2016-07-21,35.01,35.01,35.01,35.01,000,35.01
2016-07-20,35.01,35.01,35.01,35.01,000,35.01
2016-07-19,35.01,35.01,35.01,35.01,000,35.01
2016-07-18,35.01,35.01,35.01,35.01,000,35.01
2016-07-15,35.01,35.01,35.01,35.01,000,35.01
2016-07-14,35.01,35.01,35.01,35.01,000,35.01
2016-07-13,35.01,35.01,35.01,35.01,000,35.01
2016-07-12,35.01,35.01,35.01,35.01,000,35.01
2016-07-11,35.01,35.01,35.01,35.01,000,35.01
2016-07-08,35.01,35.01,35.01,35.01,000,35.01
2016-07-07,35.01,35.01,35.01,35.01,000,35.01
2016-07-06,35.01,35.01,35.01,35.01,000,35.01
2016-07-05,35.01,35.01,35.01,35.01,000,35.01
2016-07-04,35.01,35.01,35.01,35.01,000,35.01
2016-07-01,35.01,35.01,35.01,35.01,000,35.01
2016-06-30,35.01,35.01,35.01,35.01,000,35.01
2016-06-29,35.01,35.01,35.01,35.01,000,35.01
2016-06-28,35.01,35.01,35.01,35.01,000,35.01
2016-06-27,35.01,35.01,35.01,35.01,000,35.01
2016-06-24,35.01,35.01,35.01,35.01,000,35.01
2016-06-23,35.01,35.01,35.01,35.01,000,34.992
2016-06-22,35.01,35.01,35.01,35.01,000,34.992
2016-06-21,35.01,35.01,35.01,35.01,000,34.992
2016-06-20,35.01,35.01,35.01,35.01,000,34.992
2016-06-17,35.01,35.01,35.01,35.01,000,34.992
2016-06-16,35.01,35.01,35.01,35.01,000,34.992
2016-06-15,35.01,35.01,35.01,35.01,000,34.992
2016-06-14,35.01,35.01,35.01,35.01,000,34.992
2016-06-13,35.01,35.01,35.01,35.01,000,34.992
2016-06-10,35.01,35.01,35.01,35.01,000,34.992
2016-06-09,35.01,35.01,35.01,35.01,000,34.992
2016-06-08,35.01,35.01,35.01,35.01,000,34.992
2016-06-07,35.01,35.01,35.01,35.01,000,34.992
2016-06-06,35.01,35.01,35.01,35.01,000,34.992
2016-06-03,35.01,35.01,35.01,35.01,000,34.992
2016-06-02,35.01,35.01,35.01,35.01,000,34.992
2016-06-01,35.01,35.01,35.01,35.01,000,34.992
2016-05-31,35.01,35.01,35.01,35.01,000,34.992
2016-05-30,35.01,35.01,35.01,35.01,000,34.992
2016-05-27,35.01,35.01,35.01,35.01,000,34.992
2016-05-26,35.01,35.01,35.01,35.01,000,34.992
2016-05-25,35.01,35.01,35.01,35.01,000,34.992
2016-05-24,35.01,35.01,35.01,35.01,000,34.992
2016-05-23,35.01,35.01,35.01,35.01,000,34.992
2016-05-20,35.01,35.01,35.01,35.01,000,34.992
2016-05-19,35.01,35.01,35.01,35.01,000,34.992
2016-05-18,35.01,35.01,35.01,35.01,000,34.992
2016-05-17,35.01,35.01,35.01,35.01,000,34.992
2016-05-16,35.01,35.01,35.01,35.01,000,34.992
2016-05-13,35.01,35.01,35.01,35.01,000,34.992
2016-05-12,35.01,35.01,35.01,35.01,000,34.992
2016-05-11,35.01,35.01,35.01,35.01,000,34.992
2016-05-10,35.01,35.01,35.01,35.01,000,34.992
2016-05-09,35.01,35.01,35.01,35.01,000,34.992
2016-05-06,38.01,38.45,35.01,35.01,9510000,34.992
2016-05-05,38.01,39.22,37.59,37.89,7105400,37.871
2016-05-04,36.92,40.30,36.24,38.69,10228000,38.67
2016-05-03,36.32,37.50,35.25,37.19,8280600,37.171
2016-05-02,36.30,36.30,36.30,36.30,000,36.281
2016-04-29,37.49,37.49,36.18,36.30,6704100,36.281
2016-04-28,38.08,38.77,36.00,37.85,8310500,37.831
2016-04-27,36.67,39.99,36.28,38.81,11128800,38.79
2016-04-26,37.22,37.38,35.75,36.85,8434000,36.831
2016-04-25,36.80,38.35,35.53,37.21,13740200,37.191
2016-04-22,33.17,37.08,32.90,37.08,12228800,37.061
2016-04-21,32.75,34.80,32.00,33.71,6703700,33.693
2016-04-20,35.00,36.28,31.81,33.06,10239600,33.043
2016-04-19,34.65,35.16,33.80,34.80,7653000,34.782
2016-04-18,33.78,35.45,33.01,34.73,9779500,34.712
2016-04-15,31.75,34.52,31.30,33.83,8403500,33.813
2016-04-14,31.26,32.00,31.06,31.66,4529400,31.644
2016-04-13,31.58,31.96,30.93,31.02,6223100,31.004
2016-04-12,31.87,32.45,30.70,30.90,4358500,30.884
2016-04-11,31.62,33.05,31.62,31.98,6268500,31.964
2016-04-08,31.80,32.30,30.62,31.22,6989100,31.204
2016-04-07,31.02,33.02,30.17,32.62,8375600,32.603
2016-04-06,31.50,32.27,30.68,31.37,6396800,31.354
2016-04-05,30.45,31.81,30.16,31.81,6235200,31.794
2016-04-04,30.34,30.34,30.34,30.34,000,30.324
2016-04-01,31.30,31.40,29.81,30.34,5099900,30.324
2016-03-31,30.65,31.95,30.10,31.06,8866200,31.044
2016-03-30,28.70,30.05,28.70,30.02,6704500,30.005
2016-03-29,29.05,29.36,27.88,28.33,4032800,28.315
2016-03-28,30.06,30.06,28.85,29.18,6488400,29.165
2016-03-25,29.60,29.95,28.82,29.30,5198700,29.285
2016-03-24,30.80,30.80,29.58,29.59,6932500,29.575
2016-03-23,30.88,31.50,30.50,31.30,5299500,31.284
2016-03-22,31.46,31.46,30.68,30.78,5174300,30.764
2016-03-21,32.61,32.76,30.80,31.82,7321500,31.804
2016-03-18,31.57,33.06,31.56,31.71,7060500,31.694
2016-03-17,28.18,30.71,28.00,30.71,6367300,30.694
2016-03-16,27.82,28.57,27.20,27.92,4500500,27.906
2016-03-15,26.98,28.66,26.84,27.17,6145100,27.156
2016-03-14,24.83,26.84,24.83,26.84,4155800,26.826
2016-03-11,24.37,24.96,23.34,24.40,3346700,24.387
2016-03-10,25.84,26.40,24.72,24.76,4151700,24.747
2016-03-09,25.60,27.33,25.10,25.93,4037800,25.917
2016-03-08,26.45,26.96,24.45,26.20,5452500,26.187
2016-03-07,26.86,27.88,26.49,26.73,3985500,26.716
2016-03-04,29.19,29.22,26.51,26.51,4148700,26.496
2016-03-03,30.01,30.49,28.76,29.45,3415700,29.435
2016-03-02,27.75,30.10,27.70,29.50,3642400,29.485
2016-03-01,27.21,28.36,26.32,28.00,2937700,27.986
2016-02-29,29.00,29.93,26.25,27.10,3690500,27.086
2016-02-26,29.10,29.68,27.30,29.14,3553300,29.125
2016-02-25,31.85,31.99,28.80,28.81,5136800,28.795
2016-02-24,34.35,34.90,31.50,32.00,2934100,31.984
2016-02-23,35.75,36.39,34.11,34.93,1934900,34.912
2016-02-22,35.70,36.20,35.40,35.68,2562500,35.662
2016-02-19,35.28,36.60,34.77,35.40,3239200,35.382
2016-02-18,36.79,36.88,34.95,34.96,2086800,34.942
2016-02-17,36.49,37.96,35.38,36.43,2775700,36.411
2016-02-16,35.40,37.00,34.82,36.48,2076200,36.461
2016-02-15,31.55,36.00,31.55,35.33,2550100,35.312
2016-02-12,34.72,34.72,34.72,34.72,000,34.702
2016-02-11,34.72,34.72,34.72,34.72,000,34.702
2016-02-10,34.72,34.72,34.72,34.72,000,34.702
2016-02-09,34.72,34.72,34.72,34.72,000,34.702
2016-02-08,34.72,34.72,34.72,34.72,000,34.702
2016-02-05,34.41,35.50,34.01,34.72,2436000,34.702
2016-02-04,34.30,35.49,33.41,34.40,4148000,34.382
2016-02-03,31.00,34.99,30.80,34.06,7520400,34.042
2016-02-02,29.10,31.91,29.10,31.91,7971900,31.894
2016-02-01,28.78,29.90,27.21,29.01,4577100,28.995
2016-01-29,27.02,29.90,27.02,29.19,9023200,29.175
2016-01-28,29.49,31.00,29.49,29.49,12634100,29.475
2016-01-27,32.77,32.77,32.77,32.77,340100,32.753
2016-01-26,36.41,36.41,36.41,36.41,674600,36.391
2016-01-25,40.46,40.46,40.46,40.46,216100,40.439
2016-01-22,44.96,44.96,44.96,44.96,31400,44.937
2016-01-21,49.96,49.96,49.96,49.96,000,49.934
2016-01-20,49.96,49.96,49.96,49.96,000,49.934
2016-01-19,49.96,49.96,49.96,49.96,000,49.934
2016-01-18,49.96,49.96,49.96,49.96,000,49.934
2016-01-15,49.96,49.96,49.96,49.96,000,49.934
2016-01-14,49.96,49.96,49.96,49.96,000,49.934
2016-01-13,49.96,49.96,49.96,49.96,000,49.934
2016-01-12,49.96,49.96,49.96,49.96,000,49.934
2016-01-11,49.96,49.96,49.96,49.96,000,49.934
2016-01-08,49.96,49.96,49.96,49.96,000,49.934
2016-01-07,49.96,49.96,49.96,49.96,000,49.934
2016-01-06,49.96,49.96,49.96,49.96,000,49.934
2016-01-05,49.96,49.96,49.96,49.96,000,49.934
2016-01-04,49.96,49.96,49.96,49.96,000,49.934
2016-01-01,49.96,49.96,49.96,49.96,000,49.934
2015-12-31,49.96,49.96,49.96,49.96,000,49.934
2015-12-30,49.96,49.96,49.96,49.96,000,49.934
2015-12-29,49.96,49.96,49.96,49.96,000,49.934
2015-12-28,49.96,49.96,49.96,49.96,000,49.934
2015-12-25,49.96,49.96,49.96,49.96,000,49.934
2015-12-24,49.96,49.96,49.96,49.96,000,49.934
2015-12-23,49.96,49.96,49.96,49.96,000,49.934
2015-12-22,49.96,49.96,49.96,49.96,000,49.934
2015-12-21,49.96,49.96,49.96,49.96,000,49.934
2015-12-18,49.96,49.96,49.96,49.96,000,49.934
2015-12-17,50.50,51.53,48.75,49.96,4209100,49.934
2015-12-16,48.19,50.95,47.20,49.52,3339500,49.495
2015-12-15,47.28,48.50,46.33,47.69,2696900,47.665
2015-12-14,44.03,47.49,40.85,46.70,3103300,46.676
2015-12-11,47.90,47.90,45.25,45.39,3625200,45.367
2015-12-10,47.80,48.97,46.69,47.96,2530200,47.935
2015-12-09,48.20,48.86,45.55,47.90,4696400,47.875
2015-12-08,50.00,50.50,49.00,49.04,3033700,49.015
2015-12-07,51.00,51.05,47.81,50.99,4535700,50.964
2015-12-04,51.29,54.00,50.00,50.52,5088600,50.494
2015-12-03,46.89,51.81,46.07,51.81,4643200,51.783
2015-12-02,48.34,48.95,44.40,47.10,6732000,47.076
2015-12-01,50.86,54.65,47.00,48.83,8101400,48.805
2015-11-30,44.78,49.83,44.78,49.83,7228300,49.804
2015-11-27,46.21,49.56,44.42,45.30,9522000,45.277
2015-11-26,45.00,47.87,45.00,46.72,8869800,46.696
2015-11-25,40.20,43.52,40.20,43.52,6258900,43.498
2015-11-24,39.20,39.80,38.28,39.56,2606000,39.54
2015-11-23,40.00,40.31,38.85,39.06,4610600,39.04
2015-11-20,41.98,43.77,40.50,40.60,7783600,40.579
2015-11-19,39.30,42.40,38.71,42.00,6314600,41.978
2015-11-18,38.72,40.75,37.51,39.21,5191900,39.19
2015-11-17,40.01,42.42,38.40,38.58,5699300,38.56
2015-11-16,37.40,39.80,37.37,39.68,3329100,39.66
2015-11-13,38.40,38.71,37.00,38.33,3026800,38.31
2015-11-12,40.20,40.20,38.00,39.00,4528300,38.98
2015-11-11,39.79,40.50,38.86,40.07,4169700,40.049
2015-11-10,40.50,41.30,39.01,39.56,5468500,39.54
2015-11-09,39.87,42.88,39.45,41.42,6313800,41.399
2015-11-06,39.97,40.49,38.60,40.30,7206600,40.279
2015-11-05,39.80,41.38,38.76,39.59,6905800,39.57
2015-11-04,36.71,39.26,36.70,38.88,6138700,38.86
2015-11-03,35.50,37.32,35.19,36.56,3922300,36.541
2015-11-02,35.98,37.57,34.82,35.79,5737800,35.772
2015-10-30,34.40,37.66,33.70,36.70,7644900,36.681
2015-10-29,35.31,36.16,33.50,34.50,5165300,34.482
2015-10-28,38.06,39.31,35.01,35.40,7231300,35.382
2015-10-27,36.41,38.69,35.01,37.98,7266000,37.96
2015-10-26,37.02,38.15,35.05,37.00,10232600,36.981
2015-10-23,38.49,41.00,37.00,38.20,12538600,38.18
2015-10-22,33.10,38.10,33.10,38.10,14130500,38.08
2015-10-21,33.99,37.20,33.56,34.64,16111000,34.622
2015-10-20,33.30,34.50,32.20,33.82,6781700,33.803
2015-10-19,31.39,34.00,30.04,33.61,10655600,33.593
2015-10-16,31.26,31.67,30.50,31.39,5526400,31.374
